status,platform,works_name,artist_name,author,illustrator,original_author,age_classification,genre,works_type,description,hashtags,thumbnail_url,source_url
신규,kakao_page,악녀라서 편하고 좋은데요?,"망고킴, 수달, 요테",수달,요테,망고킴,전체연령가,로판,웹툰,"""악녀라서 뭐? 편하고 좋기만 한데?""2020년 카카오페이지 올해의 웹소설<악녀라서 편하고 좋은데요?>웹툰으로 화려하게 다시 태어나다!은수저X, 금수저X:+: 오리하르콘 수저 :+: 악녀로 빙의한 윤도희180,000,000도 인생 역전에 성공한다.소심한 본체 그렇지 못한 걸크러시 비주얼,빙의 전 이대생 출신으로서의 지식까지 써먹게 되면서 완벽 그 잡채!게.다.가현대였으면 강남에 빌딩 몇 개 세울 외모의이시도르(a.k.a 이시돌, 이서방)까지?'악녀라서 미움만 받다가 금방 죽는 줄 알았는데,이거 완전 복권 당첨이잖아!!!!'--------------------------------*매주 수요일(화요일 22시) 연재됩니다*","로맨스판타지, 빙의물, 재벌남, 능력남, 능력녀, 걸크러쉬, 사이다녀, 로맨틱코미디",https://page-images.kakaoentcdn.com/download/resource?kid=l0XA3/dJMcafGm4Gv/bTK9hRj7Wf6VYZWBqL7df0&filename=o1/dims/resize/384,https://page.kakao.com/content/60728286
신규,kakao_page,이번 생은 가주가 되겠습니다,"김로아, 앤트스튜디오, 앤트스튜디오, 몬",앤트스튜디오,"앤트스튜디오, 몬",김로아,전체연령가,로판,웹툰,"“…한번 해 보자. 내가 가주가 되는 거야.”제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아.게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한말그대로 제국의 역사 자체!금수저 오브 금수저 인생 당첨!앞으로는 탄탄대로일 거라 생각했는데….아버지는 돌아가시고, 친척들은 문전박대,거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야!!분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길,마차에 치여버리기까지!“이건 해도 해도 너무하잖아….”하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?!사랑하는 아버지를 다시 보는 것도 믿기지 않는데,내가 아버지와 가문을 살릴 수도 있다고?거기다 회귀 전 가문의 원수,2황자가 대형견마냥 졸졸 쫓아다니기까지?!좋아, 이렇게 된 거 2황자도 가문도 다 내 거다!환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트!**************************[표지 및 타이틀 로고 디자인] 조정원**************************웹툰 [이번 생은 가주가 되겠습니다]는 매주 월요일, 주1회 연재됩니다.","로맨스판타지, 육아물, 성장물, 회귀물, 대형견남, 능력녀",https://page-images.kakaoentcdn.com/download/resource?kid=bUpyjK/dJMcagYIkvS/2JkDCGHTnspcqHCRMWFGR1&filename=o1/dims/resize/384,https://page.kakao.com/content/56566288
신규,kakao_page,악녀인데 남주랑 각인했다,아일,아일,아일,,15세 이용가,로판,소설,"실수로 모르는 남자와 하룻밤을 보냈다.그런데 그 상대가 남주라니!‘그동안 원작이랑 다르게 살려고 얼마나 노력했는데!’비록 일이 이렇게 되어 버렸지만, 남주와 여주가 이어져야 한다는 사실에는 변함이 없었다.루시아나는 그대로 리히트를 두고 도망, 아니, 하룻밤 해프닝으로 넘어가려 하지만.“그건 불가능해.”“……네?”“어젯밤으로 인해 영애와 내가 각인했으니까.”맙소사. 남주와 이미 한 몸처럼 영혼이 묶여 버렸다.* * *“각인을 완전히 끊어 낼 때까지 조심하기로 해요.”“바라던 바다.”여주한테 남주랑 각인했다는 사실을 들키는 건 사절이었다.분명 서로 약속까지 했건만.“제길. 고운 손이 다 까져 버렸잖아.”살짝 생채기 난 거 가지고 호들갑을 떠는 것은 물론.“이번 봄제전은 무효다. 감히 영애 말고 누가 봄의 여신에 어울린다는 거지?”귀족들이 다 모인 곳에서 광역 어그로를 끌기까지?그것도 모자라.“루시, 제발 부탁이다……. 각인을 끊으려 하는 이유가 뭐지? 이제 그 빌어먹을 연구는 그만둬.”나와 각인한 걸 그렇게 싫어하던 남주가, 이제는 울면서 매달리기까지 한다.","로맨스판타지, 원나잇, 빙의물, 까칠남, 후회남, 상처남, 다정녀, 외유내강, 로맨틱코미디",https://page-images.kakaoentcdn.com/download/resource?kid=B86Oz/hAd4D9QK0h/ZkGFAK7MffR51hwSV5yQu0&filename=o1/dims/resize/384,https://page.kakao.com/content/62873271
신규,kakao_page,학원 베이비시터즈,HARI TOKEINO,HARI TOKEINO,HARI TOKEINO,,전체연령가,드라마,웹툰,"★25권 디지털 한정 보너스 페이지 수록★귀여움 대폭발! 남학생 류이치의 이색 「교내 육아」 스크램블★비행기 사고로 부모님을 잃은 류이치와 코타로 형제.같은 사고로 아들 부부를 잃은 모리노미야 학원 이사장 할머니는 형제를 맡아주는 대신,류이치에게 베이비시터부에 가입하여 교내 어린이 놀이방에서 알바를 하라고 명하는데-?!GAKUEN BABYSITTERS ⓒ HARI TOKEINO / HAKUSENSHA, INC.","일상물, 학원물, 현대물, 성장물, 일상, 가족, 형제/자매/남매, 친구, 학생, 고퀄리티, 귀여운, 두근거리는, 사랑스러운",https://page-images.kakaoentcdn.com/download/resource?kid=calOr2/dJMcabYq7lM/5Lvfqw5FdvdbBKpjgMkFAk&filename=o1/dims/resize/384,https://page.kakao.com/content/48399399
신규,kakao_page,제로의 사역마,"Yamaguchi Noboru, Usatsuka Eiji","Yamaguchi Noboru, Usatsuka Eiji","Yamaguchi Noboru, Usatsuka Eiji",,전체연령가,판타지,소설,"코믹 요소와 연애 요소, 그리고 판타지 요소와 액션이 짜임새 있게 구성된 인기작. TV 애니메이션이 3기까지 제작 확정되는 등 일본 현지는 물론, 국내에서도 인기를 누리고 있다. 소녀 루이즈는 사이토를 사역마로서 다른 세계로 '소환'한다. 어찌 된 영문인지 어리둥절해하고 있는 사이토에게 소녀는 '계약'이라 말하며 느닷없이 키스를 한다. 화낼 틈도 없이 손등에 이상한 문자가 떠오르고 사이토는 사역마가 된다. 하는 수 없이 사이토는 루이즈와 함께 지내며 원래 세계로 돌아갈 방법을 찾기 시작하는데...",차원이동,https://page-images.kakaoentcdn.com/download/resource?kid=bDmkiV/hyfMOCidxf/4sYDMKf3sk0l5clr5ACET0&filename=o1/dims/resize/384,https://page.kakao.com/content/47770686
신규,kakao_page,서브남 아빠를 지키는 법,허니슈,허니슈,허니슈,,전체연령가,로판,소설,"“네가 아스타를 살릴 방법을 알고 있다고? 네 말이 거짓이면 목숨을 내놓아야 할 거다.”이 무섭고도 아름다운 남자의 이름은 하르트 폰 라인하트. 황제에게 미움받는 제1황자이자, 성녀 아스타 아펠의 추종자인 원작의 서브남.전생에 좋아했던 그 캐릭터가 지금 나의 생물학적 친부였다. ‘원작 주인공 아스타는 당신을 이용하다 죽일 텐데.’나는 안타까움을 삼키고, 비장한 얼굴로 대답했다.“녜에!”“……하.”하르트는 내 알밤 같은 두 주먹을 어처구니없다는 듯 내려다보며 조소했다.이게 내 친부와는 첫 만남인 게 좀 어이없긴 해도, 아스타를 살릴 방법을 안다는 말은 진짜였다.물론 난 아스타를 살리러 온 게 아니라, 아스타에게 이용만 당하다 억울하게 죽게 되는 아빠를 구하러 온 거지만.뭐 꼭 아빠만 딸을 구하란 법 있나?아빠 기다려, 내가 구해줄테니까!일러스트 By 열음(@1Yeol_Eum)타이틀 디자인 By 타마(@fhxh0430)","로맨스판타지, 육아물, 빙의물, 천재, 순정남, 왕족/귀족, 능력녀, 엉뚱발랄녀, 외유내강, 달달물, 로맨틱코미디, 힐링물",https://page-images.kakaoentcdn.com/download/resource?kid=cUn97F/hyzT0KBs73/KL5lKkia2ywsJbhIGWedKK&filename=o1/dims/resize/384,https://page.kakao.com/content/60589851
신규,kakao_page,잊혀진 들판,"김수지, 스푼",스푼,스푼,김수지,15세 이용가,로판,웹툰,"- 난 매일 기도해이 사랑이 죽기를오늘까지만 너를 사랑하고내일은 이 사랑이 죽어 있기를 -불륜으로 태어난 비운의 황녀, 탈리아 로엠 귀르타.그녀는 무관심한 부모와 적대적인 이복형제들,그리고 자신을 경멸하는 하인들 틈에서 일그러진 채 자란다.다가오는 모든 이들에게 가시를 곤두세우는 것으로 스스로를 지켜 온 탈리아.그런 그녀조차도 한 사람의 앞에서만큼은 무방비한 상태가 되고 만다.그는 바로 동부의 귀공자, 바르카스 라에드고 시어칸.황실의 가신이자 대공의 후계자로서 완벽함을 강요받아온 그는학대에 가까운 훈육 속에서 대부분의 감정이 마비된 채 자라난다.오로지 가문의 명예와 의무만을 위해 존재하는 남자.그는 선황후(先皇后)와의 약속을 지키기 위해 탈리아의 이복언니 아일라와 혼약을 맺고,절망에 휩싸인 탈리아는 서서히 망가져 간다.그러나,죽음이 예정된 그녀의 사랑은 예상치 못한 변곡점을 맞이하게 되는데....","로맨스판타지, 가상시대물, 피폐물, 능력남, 악녀, 라이벌/앙숙",https://page-images.kakaoentcdn.com/download/resource?kid=o8o96/dJMcagea3Xu/Xtnu2mYEZc3YCh0Y71JLyk&filename=o1/dims/resize/384,https://page.kakao.com/content/69141031
신규,kakao_page,악녀인데 남주랑 각인했다,"아일, 메닮, 은랑",메닮,은랑,아일,15세 이용가,로판,웹툰,"실수로 모르는 남자와 하룻밤을 보냈다.그런데 그 상대가 남주라니!‘그동안 원작이랑 다르게 살려고 얼마나 노력했는데!’비록 일이 이렇게 되어 버렸지만, 남주와 여주가 이어져야 한다는 사실에는 변함이 없었다.루시아나는 그대로 리히트를 두고 도망, 아니, 하룻밤 해프닝으로 넘어가려 하지만.“그건 불가능해.”“……네?”“어젯밤으로 인해 영애와 내가 각인했으니까.”맙소사. 남주와 이미 한 몸처럼 영혼이 묶여 버렸다.","로맨스판타지, 로맨틱코미디, 원나잇, 달달물, 까칠남, 철벽남, 후회남, 상처남, 다정녀, 외유내강, 엉뚱발랄녀, 몸정>맘정, 수인물, 트라우마",https://page-images.kakaoentcdn.com/download/resource?kid=TTblf/dJMcagFvjtr/kLMaXEiMu6vjQJ4oInNgn1&filename=o1/dims/resize/384,https://page.kakao.com/content/67740423
신규,kakao_page,데뷔 못 하면 죽는 병 걸림,"백덕수, 장진, 소흔",장진,소흔,백덕수,전체연령가,드라마,웹툰,"4년 차 공시생,낯선 몸에 빙의해 3년 전으로 돌아왔다.그리고 그의 눈앞에 나타난 갑작스러운 상태창의 압박![돌발!][상태이상: '데뷔가 아니면 죽음을!' 발생!]돌연사 위협 때문에팔자에도 없던 아이돌에 도전하게 된주인공의 대환장 일지.※특이사항: 빙의 전 아이돌 데이터 찍어다 팔았었음","현대물, 회귀/타임슬립, 친구, 가수, 노블코믹, 고퀄리티, 귀여운, 두근거리는, 스릴 넘치는, 영혼체인지/빙의",https://page-images.kakaoentcdn.com/download/resource?kid=j8EWZ/dJMcaiQIXFR/Q1U8X13TsNHAbvBkljGQek&filename=o1/dims/resize/384,https://page.kakao.com/content/59782511
신규,kakao_page,흑표 가문의 설표 아기님,"김노랑, 코타비, 채로, 코타비",코타비,"채로, 코타비",김노랑,전체연령가,로판,웹툰,"잡종으로 태어나 외할아버지에게 학대당하다가 죽었다.내가 가문의 이능을 발현하지 못한 쓸모없는 아이였기 때문에.    기억을 가진 채 과거로 돌아왔지만, 선택지는 과거와 그리 다르지 않았다.이대로 살다가 전생과 똑같이 학대당해 죽거나, 나를 끔찍하게 싫어하는 아빠를 찾아가거나.    '다시 죽는 건 싫어.'    결국 나는 나를 끔찍하게 증오한다는 아빠를 찾아갔다.흑표 가문의 딸이라는 걸 증명할 수 있는 로켓 하나를 손에 꼭 쥐고서.    ""제가……, 제가 여기서 지낼 수 있게 해 주세요.""    내가 요청한 건 성년이 될 때까지의 보호.혼자 살 수 있는 나이가 되면 폐 끼치지 않고 나가서 살 생각이었다.나는 아무짝에도 쓸모없는 아이였으니까.    그런데…….    ""사랑하는 내 딸, 너를 건드리는 놈이 있다면 당장 그놈의 숨통을 끊어 버릴 거다.""    나를 싫어하는 줄 알았던 아빠는 내게 너무 상냥하고,    ""야, 페르디. 너 자꾸 티엘 번쩍번쩍 안지 말라고. 요맘때 여자애들은 아주 섬세하게 대해 줘야 한다고 했단 말이야.""""그 멍청한 이론은 또 어디서 배웠어? 티엘은 안아 주는 걸 좋아해.""    무섭다고 생각했던 두 오라버니들은 나를 너무 좋아하는 데다.    ""티엘, 네게 이 흑표 가문의 가주직을 넘길 생각이다.""    친할아버지는 갑자기 내게 가주직을 넘긴다고 한다.    저기…… 다들 저 싫어하시는 거 아니었어요?","회귀물, 수인물, 다정남, 왕족/귀족, 능력남, 순진녀, 달달물, 로맨틱코미디, 치유물, 힐링물, 육아물",https://page-images.kakaoentcdn.com/download/resource?kid=V6u4Y/dJMcagZp6Wg/iZJox0448KS2xRimnKGbW1&filename=o1/dims/resize/384,https://page.kakao.com/content/65913268
